index,Fuel Type Code,Station Name,City,State,ZIP,Status Code,Groups With Access Code,Latitude,Longitude,ID,Updated At,Country,Groups With Access Code (French),Access Code,TOTAL_POP_ev,County_ev,ST_ev,STATE_ev,STCNTY_ev,COUNTY_ev,FIPS_ev,SVI_ev,Area_km2_ev,PopDens_ev,PD_log_ev,geometry,index_tracts,TOTAL_POP_tracts,County_tracts,ST_tracts,STATE_tracts,STCNTY_tracts,COUNTY_tracts,FIPS_tracts,SVI_tracts,Area_km2_tracts,PopDens_tracts,PD_log_tracts
10391,ELEC,WAKECOPUBDECK,Raleigh,NC,27601,E,Public,35.774973700000004,-78.6426111,85602,2019-11-14 10:14:28 UTC,US,Public,public,2823,Wake,37,NORTH CAROLINA,37183,Wake,37183050100,0.3077,2.145192184762041,1315.9660099699393,7.182326283261387,POINT (713087.0038867553 3961553.756063823),88,2823,Wake,37,NORTH CAROLINA,37183,Wake,37183050100,0.3077,2.145192184762041,1315.9660099699393,7.182326283261387
10652,ELEC,Duke Energy,Raleigh,NC,27601,E,Private,35.774724,-78.64040200000001,86120,2019-05-14 21:16:45 UTC,US,Privé,private,2823,Wake,37,NORTH CAROLINA,37183,Wake,37183050100,0.3077,2.145192184762041,1315.9660099699393,7.182326283261387,POINT (713287.3902102155 3961530.863068723),88,2823,Wake,37,NORTH CAROLINA,37183,Wake,37183050100,0.3077,2.145192184762041,1315.9660099699393,7.182326283261387
10679,ELEC,Duke Energy,Raleigh,NC,27601,E,Private,35.774838,-78.63743000000001,86166,2019-05-14 21:16:45 UTC,US,Privé,private,2823,Wake,37,NORTH CAROLINA,37183,Wake,37183050100,0.3077,2.145192184762041,1315.9660099699393,7.182326283261387,POINT (713555.7769855439 3961549.986934411),88,2823,Wake,37,NORTH CAROLINA,37183,Wake,37183050100,0.3077,2.145192184762041,1315.9660099699393,7.182326283261387
14968,ELEC,DILLON STATION,Raleigh,NC,27603,E,Public,35.777964000000004,-78.645687,99756,2019-11-14 10:14:28 UTC,US,Public,public,2823,Wake,37,NORTH CAROLINA,37183,Wake,37183050100,0.3077,2.145192184762041,1315.9660099699393,7.182326283261387,POINT (712800.9460275056 3961878.812813422),88,2823,Wake,37,NORTH CAROLINA,37183,Wake,37183050100,0.3077,2.145192184762041,1315.9660099699393,7.182326283261387
25040,ELEC,City of Raleigh - Moore Square Deck,Raleigh,NC,27601,E,Public,35.777463,-78.637505,147315,2019-11-08 19:38:10 UTC,US,Public,public,2823,Wake,37,NORTH CAROLINA,37183,Wake,37183050100,0.3077,2.145192184762041,1315.9660099699393,7.182326283261387,POINT (713541.9723231253 3961841.042364815),88,2823,Wake,37,NORTH CAROLINA,37183,Wake,37183050100,0.3077,2.145192184762041,1315.9660099699393,7.182326283261387
683,ELEC,Marriott Hotel Underground Deck,Raleigh,NC,27601,E,Public,35.772881,-78.638502,40745,2019-11-08 19:38:10 UTC,US,Public,public,3555,Wake,37,NORTH CAROLINA,37183,Wake,37183050900,0.944,1.8935001725612588,1877.475403232364,7.537683282744146,POINT (713464.0941191784 3961330.539305773),95,3555,Wake,37,NORTH CAROLINA,37183,Wake,37183050900,0.944,1.8935001725612588,1877.475403232364,7.537683282744146
684,ELEC,City of Raleigh - Performing Arts Center Deck,Raleigh,NC,27601,E,Public,35.772619,-78.641492,40747,2019-11-08 19:38:10 UTC,US,Public,public,3555,Wake,37,NORTH CAROLINA,37183,Wake,37183050900,0.944,1.8935001725612588,1877.475403232364,7.537683282744146,POINT (713194.4686020049 3961294.960177532),95,3555,Wake,37,NORTH CAROLINA,37183,Wake,37183050900,0.944,1.8935001725612588,1877.475403232364,7.537683282744146
698,ELEC,Neal's Garage,Durham,NC,27705,E,Public,36.009999,-78.92140500000001,40854,2019-10-04 14:44:17 UTC,US,Public,public,1963,Durham,37,NORTH CAROLINA,37063,Durham,37063000402,0.1083,1.4322736927544024,1370.5481081796308,7.222966017775156,POINT (687327.9702572519 3987055.757871256),6,1963,Durham,37,NORTH CAROLINA,37063,Durham,37063000402,0.1083,1.4322736927544024,1370.5481081796308,7.222966017775156
767,ELEC,Wilkerson Nature Preserve Park,Raleigh,NC,27614,E,Public,35.92353,-78.59988299999999,41553,2019-11-08 19:38:10 UTC,US,Public,public,5449,Wake,37,NORTH CAROLINA,37183,Wake,37183053808,0.0037,20.754855720622647,262.54097225960044,5.570407154650192,POINT (716545.3854516462 3978128.796605649),232,5449,Wake,37,NORTH CAROLINA,37183,Wake,37183053808,0.0037,20.754855720622647,262.54097225960044,5.570407154650192
890,ELEC,City of Raleigh - Walnut Creek Wetland Center,Raleigh,NC,27610,E,Public,35.760404,-78.625005,42398,2019-11-08 19:38:10 UTC,US,Public,public,4340,Wake,37,NORTH CAROLINA,37183,Wake,37183050800,0.9584,2.2278272780747175,1948.0863901400007,7.574602831340282,POINT (714717.9133678218 3959975.833447465),94,4340,Wake,37,NORTH CAROLINA,37183,Wake,37183050800,0.9584,2.2278272780747175,1948.0863901400007,7.574602831340282
891,ELEC,City of Raleigh - Optimist Park and Community Center,Raleigh,NC,27609,E,Public,35.862603,-78.643641,42399,2019-11-08 19:38:10 UTC,US,Public,public,4137,Wake,37,NORTH CAROLINA,37183,Wake,37183053716,0.279,3.2568066837120333,1270.2626842084292,7.146978996024009,POINT (712759.7782610718 3971273.203147357),216,4137,Wake,37,NORTH CAROLINA,37183,Wake,37183053716,0.279,3.2568066837120333,1270.2626842084292,7.146978996024009
892,ELEC,City of Raleigh - Jaycee Park and Community Center,Raleigh,NC,27607,E,Public,35.800443,-78.663445,42400,2019-11-08 19:38:10 UTC,US,Public,public,5364,Wake,37,NORTH CAROLINA,37183,Wake,37183051400,0.1398,2.8981789603807377,1850.8173833734975,7.523382649345284,POINT (711136.0486332123 3964334.192328169),100,5364,Wake,37,NORTH CAROLINA,37183,Wake,37183051400,0.1398,2.8981789603807377,1850.8173833734975,7.523382649345284
7608,ELEC,NC STATE,Raleigh,NC,27607,E,Public,35.7873827,-78.6756108,73326,2019-11-14 10:14:28 UTC,US,Public,public,5364,Wake,37,NORTH CAROLINA,37183,Wake,37183051400,0.1398,2.8981789603807377,1850.8173833734975,7.523382649345284,POINT (710070.9263951661 3962859.108790096),100,5364,Wake,37,NORTH CAROLINA,37183,Wake,37183051400,0.1398,2.8981789603807377,1850.8173833734975,7.523382649345284
893,ELEC,City of Raleigh - Wilders Grove,Raleigh,NC,27610,E,Public,35.788789,-78.57310600000001,42401,2019-11-08 19:38:10 UTC,US,Public,public,6953,Wake,37,NORTH CAROLINA,37183,Wake,37183054106,0.6289,14.873571999929693,467.4734488818736,6.147342553280346,POINT (719332.8464394915 3963239.920578056),249,6953,Wake,37,NORTH CAROLINA,37183,Wake,37183054106,0.6289,14.873571999929693,467.4734488818736,6.147342553280346
